Division,Level Education,Training Level,Work Experience,Salary,Sales
Sales,Bachelor,2,5,65000,250000
Marketing,Master,4,8,75000,320000
Sales,High School,2,2,45000,120000
Operations,Bachelor,3,6,70000,280000
Sales,Master,1,10,85000,450000
HR,Bachelor,6,1,50000,80000
Sales,Bachelor,2,7,72000,310000
Finance,Master,2,9,80000,400000
Sales,High School,2,4,55000,180000
Operations,Bachelor,2,5,68000,260000
Sales,Master,3,11,90000,520000
Marketing,Bachelor,1,2,48000,130000
Sales,Bachelor,2,6,69000,290000
Finance,Bachelor,3,8,78000,380000
Sales,High School,2,3,52000,150000
Operations,Master,3,10,82000,410000
