Id,MSSubClass,MSZoning,LotFrontage,LotArea,Neighborhood,OverallQual,OverallCond,YearBuilt,YearRemodAdd,TotalBsmtSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,GarageCars,SalePrice
1,70,RL,81,7497,OldTown,7,5,1995,1995,717,2432,2,0,2,7,3,367413
2,45,RM,88,10320,Gilbert,5,5,1941,1951,919,1745,2,0,2,4,1,234234
3,190,RL,20,10203,BrkSide,7,5,1963,1998,1770,1945,2,1,3,6,2,236823
4,160,RM,101,9843,CollgCr,7,7,1935,1999,785,1738,1,0,3,9,1,294019
5,80,RL,66,10662,Blmngtn,5,6,1902,1980,1358,1687,2,0,3,7,1,286644
6,190,RL,54,13525,Timber,6,6,1896,1986,864,1068,2,1,3,6,2,235647
7,50,FV,66,7804,StoneBr,4,8,1957,1990,1239,1276,2,0,3,6,3,267207
8,70,RL,40,4398,Somerst,8,8,1901,1990,1024,1535,1,1,3,9,1,346441
9,120,RL,90,17260,Crawfor,5,6,1987,1987,1120,1175,2,1,3,6,3,259883
10,40,RM,63,14857,SWISU,5,5,1896,1983,1197,1083,1,1,4,8,2,235391
11,70,RL,55,6085,Mitchel,6,7,1894,2000,950,1397,2,1,2,6,2,267341
12,160,RL,66,11042,Veenker,7,5,1993,2004,1199,1197,2,0,2,7,1,275775
13,160,RM,92,14542,ClearCr,5,6,1927,2008,1543,1524,1,0,3,5,2,271121
14,80,RL,72,13496,Blueste,6,6,1992,1992,748,1278,1,2,2,8,2,345643
15,50,RM,41,12348,NoRidge,5,6,1976,1976,1524,1157,2,0,0,8,2,278714
16,45,RL,79,9819,Sawyer,5,5,1970,1970,943,1036,2,0,4,7,2,237216
17,80,RM,51,17409,Sawyer,6,6,1895,1963,901,1503,1,1,3,4,2,329318
18,80,RL,26,11383,SWISU,5,8,1977,1995,1329,1944,2,0,3,7,2,361854
19,40,RH,99,8440,NPkVill,5,4,1990,1990,913,1825,2,0,3,6,2,322366
20,60,RM,79,13984,NridgHt,7,5,1880,1984,1177,736,2,0,3,6,3,236939
21,50,RL,68,10884,Edwards,4,6,1920,1950,1140,1929,2,0,5,8,2,392355
22,30,RL,63,11899,Timber,6,9,1927,1997,216,1821,1,0,2,8,1,203552
23,80,C (all),97,11312,Edwards,5,4,1987,1987,1217,1943,2,1,3,6,2,227009
24,180,RL,131,12487,NWAmes,2,2,1982,1982,473,2041,1,1,3,11,2,261022
25,60,RL,78,6586,Edwards,4,3,2007,2007,504,1136,1,1,3,9,1,211061
26,30,RL,49,4695,Crawfor,6,3,1909,1966,1196,1350,1,0,3,7,2,173404
27,180,RL,66,16236,Edwards,6,8,1924,1977,1264,2395,2,0,4,7,2,331297
